City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
81,Dromolaxia,CY,34.88,33.59,57.0,76,0,5.82,clear sky
82,Porto Novo,BJ,6.5,2.6,86.0,74,97,9.17,haze
83,Mahon,ES,39.89,4.27,48.2,70,20,9.17,few clouds
84,Palora,EC,-1.7,-77.93,78.8,65,40,5.82,light rain
85,Grindavik,IS,63.84,-22.43,26.6,92,0,2.24,clear sky
86,Cayenne,GF,4.93,-52.33,84.2,74,75,9.17,broken clouds
87,Placido De Castro,BR,-10.34,-67.19,93.38,44,55,5.46,heavy intensity rain
88,Mitsamiouli,KM,-11.38,43.28,82.42,75,99,8.52,overcast clouds
89,Sanjwal,PK,33.76,72.43,59.0,28,0,6.93,haze
90,Saint Anthony,US,45.02,-93.22,24.8,68,90,13.87,overcast clouds
91,Mufulira,ZM,-12.55,28.24,66.99,93,100,3.4,moderate rain
92,Puerto Colombia,CO,10.99,-74.95,89.6,52,40,9.17,scattered clouds
93,Borovskoy,KZ,53.8,64.15,-5.82,92,86,4.81,overcast clouds
94,Mariental,NA,-24.63,17.97,80.6,65,86,8.05,light rain
95,Korla,CN,41.76,86.15,16.77,85,4,3.53,clear sky
96,Kadoma,JP,34.73,135.58,36.0,54,71,5.01,broken clouds
97,Ambilobe,MG,-13.2,49.05,74.26,92,100,4.59,moderate rain
98,Kudahuvadhoo,MV,2.67,72.89,83.14,69,10,3.74,clear sky
99,Quatre Cocos,MU,-20.21,57.76,77.0,88,40,13.87,shower rain
100,Iznoski,RU,54.99,35.31,30.51,99,100,8.25,overcast clouds
101,Mao,ES,39.89,4.27,48.2,70,20,9.17,few clouds
102,Ostrovnoy,RU,68.05,39.51,13.01,94,16,13.22,few clouds
103,Marzuq,YE,14.4,46.47,62.08,49,0,1.57,clear sky
104,Presidente Medici,BR,-11.18,-61.9,83.86,69,95,5.55,light rain
105,Touros,BR,-5.2,-35.46,87.8,55,40,13.87,scattered clouds
106,Klaksvik,FO,62.23,-6.59,37.4,86,81,19.46,light rain
107,Baherden,TM,38.44,57.43,32.77,82,1,7.43,clear sky
108,Quibor,VE,9.93,-69.62,86.0,48,20,5.82,few clouds
109,Barroquinha,BR,-3.02,-41.14,89.6,62,20,18.34,few clouds
110,East London,ZA,-33.02,27.91,69.8,88,20,3.36,few clouds
111,Kisangani,CD,0.52,25.2,76.24,72,62,1.88,broken clouds
112,San Javier,ES,37.81,-0.84,53.01,37,0,6.93,clear sky
113,Merke,KZ,42.87,73.18,20.26,81,0,2.89,clear sky
114,Vilhena,BR,-12.74,-60.15,78.8,78,75,9.17,broken clouds
115,Georgetown,MY,5.41,100.34,78.8,83,20,3.36,few clouds
116,Sorrento,IT,40.63,14.37,51.8,81,75,6.93,broken clouds
117,Salalah,OM,17.02,54.09,75.2,60,0,4.7,clear sky
118,Sept-Iles,CA,50.2,-66.38,15.01,61,4,10.29,clear sky
119,Sorland,NO,67.67,12.69,39.2,75,0,10.29,clear sky
120,Sisimiut,GL,66.94,-53.67,23.63,96,100,11.32,light snow
121,Vila Velha,BR,-20.33,-40.29,84.2,58,20,18.34,few clouds
122,Varhaug,NO,58.61,5.65,37.4,100,75,1.12,broken clouds
123,Carinhanha,BR,-14.3,-43.77,90.81,35,26,3.76,scattered clouds
124,Bambous Virieux,MU,-20.34,57.76,77.0,88,40,13.87,shower rain
125,Asmara,ER,15.33,38.93,55.13,86,2,3.91,clear sky
126,Tasiilaq,GL,65.61,-37.64,15.8,78,20,5.82,few clouds
127,Nador,MA,35.17,-2.93,55.4,50,0,3.36,clear sky
128,Pontal Do Parana,BR,-25.65,-48.51,91.0,45,75,13.87,broken clouds
129,Anapskaya,RU,44.89,37.38,42.8,60,0,4.47,clear sky
130,Bredasdorp,ZA,-34.53,20.04,71.6,49,0,17.22,clear sky
131,Vagur,FO,61.47,-6.81,41.29,85,48,26.15,light rain
132,Podolinec,SK,49.26,20.54,35.01,99,99,3.91,overcast clouds
133,Pervomayskoye,RU,43.92,46.71,40.62,88,17,9.04,few clouds
134,Marsa Matruh,EG,31.35,27.25,62.6,67,40,5.82,scattered clouds
