City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
189,Plettenberg Bay,ZA,66.33,clear sky,-34.05,23.37,Thanda Vista B&B
190,Olavarria,AR,78.3,clear sky,-36.89,-60.32,Hotel Santa Rosa
193,Victoria,HK,50.0,clear sky,22.29,114.16,Mini Hotel Central
195,Kruisfontein,ZA,69.01,clear sky,-34.0,24.73,Oyster Bay House Rental
199,Cap Malheureux,MU,77.0,light rain,-19.98,57.61,Pereybere Hotel & Spa
201,Grammichele,IT,51.8,few clouds,37.21,14.64,Valle Verde Di Paolo E Maria Teresa Filia Snc
207,Saky,UA,51.44,broken clouds,45.14,33.6,Chayka
211,Bucarasica,CO,78.8,scattered clouds,8.04,-72.87,Hotel el rubi
214,Barmer,IN,52.77,scattered clouds,25.75,71.38,OYO 71911 Hotel Amber Palace
218,Sholapur,IN,70.5,clear sky,17.68,75.92,SPOT ON 43891 Vinayak Lodge SPOT
220,Nouadhibou,MR,68.0,clear sky,20.93,-17.03,El Medina
224,Sarande,AL,60.8,broken clouds,39.88,20.01,Hotel Seaside Artist Saranda
226,Chemin Grenier,MU,77.0,shower rain,-20.49,57.47,Shanti Maurice Resort & Spa
229,Geraldton,AU,68.0,haze,-28.77,114.6,Broadwater Mariner Resort
233,Puerto Madryn,AR,65.26,scattered clouds,-42.77,-65.04,Hotel Tolosa
234,Viedma,AR,66.99,broken clouds,-40.81,-63.0,Hotel Cristal
236,Namibe,AO,71.31,broken clouds,-15.2,12.15,Hotel Chik Chik Namibe
239,Rocha,UY,71.51,broken clouds,-34.48,-54.33,Beleza Pura B&B
240,Castro,BR,78.64,clear sky,-24.79,-50.01,CHACARA BAILLY
242,Harlingen,US,79.0,broken clouds,26.19,-97.7,Courtyard by Marriott Harlingen
244,Rio Gallegos,AR,62.6,scattered clouds,-51.62,-69.22,Hotel Santa Cruz
247,Prattville,US,69.8,clear sky,32.46,-86.46,InTown Suites Extended Stay Prattville AL
254,Kalmunai,LK,79.03,moderate rain,7.42,81.82,VS Villa
